x_src,y_src,x_ref,y_ref,confidence
38.7706290162256,43.61867289304159,206.42330610913675,99.67211088083077,0.9798142313957214
95.8814199721208,44.795821478029964,243.3905050489507,99.54526216450104,0.9973692297935486
129.68822575039815,13.333355097973126,265.7262936691937,78.79240327004513,0.9684239625930786
42.27314981513689,14.481104547300248,208.04076969193295,79.66993364309187,0.971598744392395
85.38618624518034,71.60090491573679,236.8301639740202,117.12759368242605,0.9909582138061523
17.781109921559562,92.56671503003084,189.12429024342427,130.41529240432064,0.94474196434021
13.135344379591857,12.144114932995066,188.5241675726229,78.172376170015,0.8720194101333618
70.23451793510475,70.43229156368231,226.71317671709096,117.42608177966423,0.9782412648200989
106.36313958024925,84.42601556287083,250.3545204728359,126.75764230593084,0.9197842478752136
27.11626552937952,38.954177256579996,197.43811659287095,95.26602344249409,0.9775248169898987
194.94825140638721,61.13341069583153,309.0561962292016,110.44286186415644,0.9990734457969666
252.06046490110475,55.31737217318327,347.98369600526695,106.571611963674,0.9987893104553223
304.50249260407134,89.12844556792756,382.656467277545,129.99412421694146,0.9995534420013428
139.00180618607953,65.78415512367737,272.0921243275152,113.38877832354363,0.9973888993263245
285.8691673978118,14.530656316277643,369.19241470863847,79.41145452914856,0.9316318035125732
321.9954181449191,40.17969216152714,394.05625229156135,96.5120879160718,0.9981111288070679
157.64461498448793,93.7606969910833,284.3076288292354,132.0218078850607,0.9955186247825623
203.10222790255557,84.44569401657957,314.2576796029861,126.82062741472032,0.99903804063797
173.96631918544028,72.78445492542558,295.13677823351384,118.03217966297328,0.9945230484008789
213.5979358091035,55.30954820966052,321.48845729768357,106.43552100459277,0.9983875155448914
356.9509217317385,91.47017697830715,417.22599061473016,131.51455165455369,0.9996063113212585
366.287262788577,32.02998328182581,423.4492593359258,92.04574366443036,0.9989796876907349
411.74250480860746,34.37029215338306,453.6807423030349,92.63779216037923,0.9974325895309448
530.6207583933366,63.53275492851496,532.1908336968879,113.05104703002054,0.9984195828437805
473.51399796410476,42.54157620522291,494.53052381402193,99.05248155222498,0.9980334043502808
463.0306187273503,11.070100412624726,487.61645528820225,78.27398435159319,0.9836519360542297
522.4722349626539,13.413254361826617,527.9477324495888,78.97355762617616,0.9167646765708923
492.15325041545736,88.00108584172033,507.907840495931,128.21956042777882,0.9993542432785034
467.6778068081403,84.49951340202391,490.7525201670294,126.69021454050116,0.9993152618408203
492.1662903546619,23.89687068838481,507.90345068736553,85.68282981878002,0.9717406034469604
686.8064418368248,41.419432454697485,636.8341257712876,97.34159229529911,0.9979760646820068
729.9249313323538,71.7320155771937,665.565157842004,117.61030512890333,0.9986644387245178
626.1936042616258,67.04878984623825,596.8378883110984,114.26614340867211,0.998680830001831
593.5580198232439,70.53874488555242,575.0738847497712,117.48455605682376,0.9988881349563599
713.6167412502135,26.27298012030373,654.7965441977019,88.26319772914812,0.9918504357337952
664.6537624555899,78.71192565582201,622.3333751959685,123.00752759103986,0.9974636435508728
549.2697315266417,61.20548599616227,545.8242248678666,110.40003934000352,0.9977468252182007
637.8543691731722,40.243943498335156,604.5893643250508,96.56050595657447,0.9936301708221436
701.9498120037701,83.38163726796544,646.9963504823704,125.02101332033355,0.9881025552749634
